Employee_ID,Name,Gender,Age,Department,Salary,Phone,Email,Address
EMP6496,Maanas Nayar,Female,29,Operations,788302,,simonvasa@example.org,H.No. 11 Jayaraman Pondicherry 900329
EMP8992,Leena Naidu,Male,44,Operations,942386,3657360032,ekapad70@example.com,25/639 Lala Nagar Allahabad 906042
EMP6540,Nitara Bansal,Male,32,Marketing,1291681,2611496127,dubeubika@example.com,H.No. 841 Sarraf Circle Orai 067919
EMP5957,Sanaya Borah,Female,51,HR,1450104,9853654355,isaxena@example.com,50 Goswami Hazaribagh 162579
EMP7859,Omya Lad,Male,30,IT,1244161,3388662756,nisha38@example.net,H.No. 27 Tank Nagar Mira-Bhayandar-471719
EMP8212,Jyoti Bansal,Male,40,Marketing,1328493,8478448900,chamansagar@example.org,354 Din Street Vadodara 978536
EMP0241,Widisha Ramaswamy,Male,30,IT,422603,5158648277,ayaanwason@example.com,863 Kibe Pudukkottai 880942
EMP4865,Diya Badal,Male,24,IT,539864,0119334253,zayan07@example.net,H.No. 32 Bose Kadapa 166158
EMP4831,Rayaan Issac,Male,40,HR,673397,9108873643,kalasinha@example.com,65/06 Wable Zila Malegaon 415995
EMP3750,Divya Shenoy,Male,59,Marketing,886355,3969880973,divanaditya@example.net,57/358 Rai Street Kishanganj-766458
EMP1362,Jai Pathak,Male,35,HR,1038756,6495109116,tara63@example.com,317 Modi Chowk Guwahati 461790
EMP2546,Zaid Srinivasan,Female,35,HR,1464569,5257405281,saurora@example.org,H.No. 844 Dyal Ganj Jabalpur-020123
EMP3815,Isaac Shah,Male,37,Marketing,1154944,2300379667,nagimanthan@example.net,118 Shankar Path Akola 246323
EMP5737,Raagini Mahajan,Female,31,Operations,1003697,8944791118,chaudharyraagini@example.net,10 Lala Dehradun-338038
EMP4372,Parth Shere,Male,36,IT,1242461,7161108510,modixiti@example.org,H.No. 48 Bhat Path Bareilly-298951
EMP1984,Bina Mand,Female,51,Marketing,1173710,4714985321,avi68@example.net,57 Borde Road Sasaram 200506
EMP9650,Veda Palan,Male,29,HR,822519,1659958383,raghav90@example.com,473 Chaudhari Street Bikaner-312423
EMP8465,Kashish Kaul,Male,58,HR,1353620,8774736289,tanishseshadri@example.com,H.No. 59 Shetty Road Nagaon-312684
EMP7935,Pranit Kashyap,Female,38,HR,329267,9260351960,subramanianomaja@example.com,77/02 Prabhakar Path Jabalpur-331022
EMP1381,Nathan Lad,Male,34,Finance,564091,1344402229,dbhakta@example.net,548 Krish Chandigarh-152699
EMP6219,Pranav Balasubramanian,Female,42,Marketing,767594,9657673608,hanstristan@example.com,H.No. 96 Dara Ganj Bhopal 633348
EMP8459,Christopher Sastry,Female,32,IT,1302892,2564197842,nandinimisra@example.org,H.No. 484 Narayanan Road Vasai-Virar 903484
EMP0381,Charita Balakrishnan,Female,22,Finance,1091295,3564310819,adatta@example.org,H.No. 994 Sanghvi Ganj Jalandhar-936816
EMP4747,Charan Dugal,Male,28,Operations,961548,6886519475,varugheserudra@example.com,88 Arora Chowk Solapur-553685
EMP1654,Odika Sundaram,Male,29,Operations,764585,4704831200,okumar@example.org,H.No. 89 Kota Road Kulti 672160
EMP0562,Ishanvi Bhakta,Female,39,Finance,,,rganesh@example.org,
EMP5858,Sachi Panchal,Male,24,Finance,1103455,9161352710,balileena@example.org,H.No. 36 Wadhwa Road Dehradun-071108
EMP8296,Faqid Raghavan,Female,40,Operations,1291142,9525276678,keerarunima@example.com,H.No. 65 Chakrabarti Chowk Narasaraopet-947212
EMP2071,Avni Borah,Female,22,IT,369220,7626195062,tandongauri@example.net,H.No. 727 Goel Marg Phusro-453623
EMP7784,Jonathan Hayre,Female,53,Marketing,1383499,1020666909,ydey@example.com,H.No. 48 Palan Path Kurnool 633008
EMP3682,Ojas Goyal,Female,57,HR,1404098,1397956395,dhaliwalgayathri@example.net,55/84 Narula Nagar Aurangabad 315622
EMP0879,Pooja Bhasin,Female,32,Operations,,3341513469,lsani@example.com,37/679 Bains Road Satna-484483
EMP8780,Vrinda Barad,Female,48,Operations,885512,6452593938,tarak43@example.net,
EMP8780,Vrinda Barad,Female,48,Operations,885512,6452593938,tarak43@example.net,H.No. 754 Parmar Street Karaikudi-422225
EMP8527,Jack Kar,Male,33,Marketing,1101446,0267261651,warriorvasana@example.org,
EMP0412,Hemang Deshmukh,Male,40,Operations,1348689,4090648127,chadhahenry@example.net,459 Patla Street Khammam 219024
EMP7895,Dayita Reddy,Male,27,Operations,364947,7583791828,raaginidin@example.com,03 Sekhon Ganj Singrauli 689193
EMP4050,Neel Lall,Male,58,Marketing,882942,1268849082,kaulanika@example.net,690 Kant Circle Jorhat 887069
EMP2003,Krish Kibe,Male,29,Finance,800088,1843603243,,34/286 Sandal Circle Vasai-Virar 033216
EMP4106,Maanas Tripathi,Female,51,Finance,318876,6605771220,vyanjana17@example.net,H.No. 906 Mangal Zila Kirari Suleman Nagar-711011
